# Mar Thoma Syrian Church, Singapore
# Service Order - 8 Feb 2026
# Format: hymn_num|label|title_hint

91|Opening|Vaazthin vaazhthin
262|B/A|Thuna enikkesuvam
420|Offertory|Puthu valsarathin
225|Dedication|Ninte Hitham
211|Confession|Daivame sneharoopame
211|Communion|Daivame sneharoopame
171|Communion|Mel veetil en Yeshu ha snehamaay
366|Communion|Enthathishayame Daivathin
343|Communion|Yahenna daivam en idayanaho
176|Communion|Shudhikkai Nee Yeshu sameepe
262|Communion|Thuna enikkeshuvaam
427|Closing|Nithyanaaya Yehovaye
